Keyword,Count,Mean Engagement Ratio,Standard Deviation
relaxation,12,0.025290954654594952,0.010930288493040488
stress,12,0.025113070633767696,0.009430386856233083
home,11,0.022100233969371937,0.004090207185527834
25,11,0.03686800864181462,0.013902059370839359
soul,11,0.024632315163274545,0.008474442611843377
feel,11,0.03251091893293381,0.009255215722623967
intention,11,0.03315898452600396,0.009016316416613523
coffee,11,0.04667346782665358,0.010705513316642443
vin,11,0.028659108770710727,0.0062862132975865645
best,11,0.02517349503261467,0.004836458969368832
inner,11,0.02881095873329862,0.01265684822633594
moon,10,0.03602916946124945,0.011097949370892854
block,10,0.03749477250513615,0.007239559730544062
guided,10,0.02607354652551559,0.011724843845214866
ep,10,0.02385543333723413,0.008509940494208718
relax,10,0.03218854158032879,0.007779889231387744
twist,9,0.03184517942100237,0.013689130263394555
series,9,0.022090340667892686,0.005094131491879063
self,8,0.03746964744550788,0.006907378760181737
backbend,8,0.022554169648936206,0.002613665508764009
spine,8,0.023586227128507838,0.005060540682597929
kitten,8,0.035281720306181596,0.01056831066902719
daily,8,0.035378606606288124,0.009279492168272195
good,8,0.02650211008079171,0.011253149406593966
healing,8,0.03311068569421383,0.007253841327757353
health,8,0.03233127856122724,0.012151510071150883
restorative,8,0.021968790762656783,0.008109785689803894
thigh,7,0.025009565504261633,0.007827451780885921
free,7,0.02922511128067829,0.014191171356772935
boost,7,0.026632734682255136,0.006054258371488655
14,7,0.02896077373206818,0.0156636907118901
set,7,0.03370624542416165,0.009538688917212015
neck,7,0.025073832339624465,0.011242821340013406
relaxing,7,0.033877961244377655,0.006649719470669997
energizing,7,0.027154110520611008,0.005238232216004481
meridian,7,0.025223142122234952,0.009565568818536539
tension,7,0.022476500794374528,0.009314242200500056
tip,7,0.0354012158247115,0.011382512650586768
arm,7,0.020713747618138097,0.003551816852288559
sunrise,7,0.027081920141948934,0.005708146942276908
hand,6,0.03254765384171468,0.00950480965517089
intuition,6,0.034855189334778554,0.009858977111707877
12,6,0.0354937817133256,0.007827147954405514
work,6,0.03345894740414162,0.0066435550544788
year,6,0.04176589060210792,0.01646850290421444
positive,6,0.022875637560977918,0.004937407376188431
online,6,0.029336973542945538,0.01587409568579934
leg,6,0.02687330870956223,0.009721026932096654
sore,6,0.03058897753384786,0.007994255265407266
start,6,0.02573641170419645,0.0067429756679658875
salutation,6,0.02204584037527464,0.008639511121637765
gratitude,6,0.046984427279590894,0.01546265489052333
routine,6,0.030734795161838132,0.006171438805904955
clarity,6,0.03993163914317007,0.012162365371897148
energize,6,0.028347292450850745,0.0062204286274951575
advanced,6,0.024436855447464063,0.009956801547083033
muscle,6,0.03058897753384786,0.007994255265407266
tight,6,0.022046521820204,0.006176195965771329
silence,5,0.038079413348946524,0.00935502124693852
business,5,0.019489148886952884,0.006543648065124798
pre,5,0.027954370284470804,0.010766972739862135
cramp,5,0.027654807466692473,0.009646270036644264
setting,5,0.03241802266190258,0.00809620892933733
sculpt,5,0.020770404963559034,0.0018215754323416
connection,5,0.03734840417744818,0.01253070333513318
cleo,5,0.025944962354531715,0.00808638021354813
detox,5,0.021648623158064755,0.002408338687812498
love,5,0.03716685695295298,0.0052560820875492
22,5,0.036324501538032836,0.00899213204071767
toning,5,0.025805619859555005,0.007324241480232101
28,5,0.03919074001257653,0.009397712235246831
27,5,0.035923391648153405,0.008534141964144242
vlog,5,0.046053369813413556,0.02111139938948306
alignment,5,0.04047783981758411,0.009140023657390473
update,5,0.042826134216203175,0.01641887893120518
26,5,0.03789566028866981,0.008357626750227835
anxiety,5,0.03283061909273355,0.01575245428986763
trick,5,0.03161348306410456,0.008137471804927479
warm,5,0.021564823020309994,0.0065452904925451935
inspiration,5,0.037167866304239815,0.0053097981788035814
24,5,0.03519132314360417,0.009784445553304502
23,5,0.03490907096001564,0.010065052307068372
29,5,0.0345079251900048,0.010646443493965171
21,5,0.03783437153096989,0.009580850114976055
headstand,5,0.021679736922737974,0.012786796706823348
abundance,5,0.04001820977433897,0.012439880844699555
19,5,0.03861254352866231,0.012212173582439714
