channelTitle,videoId,videoTitle,yogaSubject,YogaChallenge,release_date,release_time,duration,viewCount,likeCount,commentCount,defaultLAudioLanguage,videoCategoryLabel
Yoga with Kassandra,807AsYXBHoU,30 min Yoga for Body Positivity & Self-Love,Vinyasa Flow Yoga,FALSE,2018-01-18,14:13:28,32:52,66779,2589,312,en,Howto & Style
Yoga with Kassandra,ZTEAZmDP5aY,Root Chakra Yin Yoga & Affirmations for Belonging & Abundance,Yin Yoga,FALSE,2018-01-11,17:10:02,57:17,215735,4288,275,en,Howto & Style
Yoga with Kassandra,i-dW0RL6bJA,1 Hour Flexibility Yoga - Yoga for Hips and Hamstring Flexibility,Vinyasa Flow Yoga,FALSE,2018-01-04,15:35:30,58:47,307567,7024,519,en,Howto & Style
Yoga with Kassandra,HjBlXu_u_V0,30 min Intermediate Yoga - Minimal Cues Yoga Flow,Intermediate Yoga,FALSE,2017-12-28,15:02:59,29:40,150136,5247,698,en,Howto & Style
Yoga with Kassandra,djdYZ6CbJRw,Winter Solstice Restorative Yoga - Slow Down & Set Intentions,Vinyasa Flow Yoga,FALSE,2017-12-19,11:40:27,41:18,92467,2139,172,en,Howto & Style
Yoga with Kassandra,lLaOIu8Hyls,"🌬️Air Element Yoga🌬️ Breath, Heart Connection & Inspiration",Zodiac yoga,FALSE,2017-12-14,15:43:06,41:51,69350,2169,226,en-US,Howto & Style
Yoga with Kassandra,SJYYte_-vE0,10 min Morning Meditation To Set Your Intention,Morning Yoga,FALSE,2017-12-12,17:10:21,12:06,95928,1899,305,en,Howto & Style
Yoga with Kassandra,5K6QtX51--s,"Yin Yoga for Quads, Thighs & Hip Flexors",Yin Yoga,FALSE,2017-12-07,16:53:42,40:46,241890,3976,187,en,Howto & Style
Yoga with Kassandra,dX4QLhCzG1U,I WROTE A BOOK! - Yin Yoga by Kassandra Reinhardt,Yin Yoga,FALSE,2017-12-04,15:30:13,05:00,15949,397,107,en,Howto & Style
Yoga with Kassandra,78FkHc3E-Bw,"💦 Water Element Yoga 💦 Creativity, Feeling & Sensuality",Zodiac yoga,FALSE,2017-11-23,16:17:26,42:01,74759,2546,219,en,Howto & Style
Yoga with Kassandra,zszZJFtO0v8,Morning Gratitude Yoga to Set Your Intention,Morning Yoga,FALSE,2017-11-16,15:18:34,41:47,102783,3713,399,en,Howto & Style
Yoga with Kassandra,u9rbtHgBCdE,"🌿 Earth Element Yoga🌿 Inner Strength, Grounding & Endurance",Zodiac yoga,FALSE,2017-11-09,14:20:45,46:14,97357,3221,240,en,Howto & Style
